GEOID,NAMELSAD,lst_mean,lst_stddev,lst_deviation,ndvi_mean,imperv_pct,risk_score,risk_tier
12057000100,Census Tract 1,38.42,2.14,5.87,0.18,82.3,91.2,Very High
12057000200,Census Tract 2,37.91,1.98,5.36,0.21,78.6,86.7,Very High
12057000300,Census Tract 3,37.64,2.31,5.09,0.19,80.1,87.4,Very High
12057000400,Census Tract 4,36.83,3.02,4.28,0.24,71.4,78.3,Very High
12057000500,Census Tract 5,36.41,2.87,3.86,0.27,68.9,73.1,High
12057000600,Census Tract 6,36.02,2.61,3.47,0.29,65.2,69.4,High
12057000700,Census Tract 7,35.74,2.44,3.19,0.31,62.8,65.8,High
12057000800,Census Tract 8,35.21,3.18,2.66,0.34,58.3,60.2,High
12057000900,Census Tract 9,34.98,2.93,2.43,0.36,55.7,57.1,High
12057001000,Census Tract 10,34.71,2.57,2.16,0.39,52.4,53.6,High
12057001100,Census Tract 11,34.43,2.82,1.88,0.41,49.8,49.7,Moderate
12057001200,Census Tract 12,34.18,3.14,1.63,0.43,47.2,46.3,Moderate
12057001300,Census Tract 13,33.92,2.69,1.37,0.45,44.6,42.8,Moderate
12057001400,Census Tract 14,33.64,2.41,1.09,0.48,41.9,39.1,Moderate
12057001500,Census Tract 15,33.38,2.28,0.83,0.51,38.7,35.4,Moderate
12057001600,Census Tract 16,33.12,2.63,0.57,0.53,36.2,32.0,Moderate
12057001700,Census Tract 17,32.86,2.47,0.31,0.56,33.8,28.7,Moderate
12057001800,Census Tract 18,32.61,2.19,0.06,0.58,31.4,25.3,Moderate
12057001900,Census Tract 19,32.44,2.34,-0.11,0.61,28.9,22.1,Low
12057002000,Census Tract 20,32.18,2.58,-0.37,0.63,26.7,19.4,Low
12057002100,Census Tract 21,31.93,2.41,-0.62,0.65,24.3,17.2,Low
12057002200,Census Tract 22,31.67,2.74,-0.88,0.68,21.8,14.8,Low
12057002300,Census Tract 23,31.41,2.62,-1.14,0.71,19.4,12.6,Low
12057002400,Census Tract 24,31.14,3.01,-1.41,0.73,17.1,10.4,Low
12057002500,Census Tract 25,30.88,2.83,-1.67,0.76,14.7,8.3,Low
12057002600,Census Tract 26,30.61,3.21,-1.94,0.78,12.3,6.4,Low
12057002700,Census Tract 27,30.34,2.94,-2.21,0.81,10.2,4.8,Low
12057002800,Census Tract 28,30.07,3.14,-2.48,0.83,8.4,3.5,Low
12057002900,Census Tract 29,29.79,3.42,-2.76,0.85,6.8,2.4,Low
12057003000,Census Tract 30,29.51,3.28,-3.04,0.87,5.3,1.6,Low
12057003100,Census Tract 31,38.61,1.87,6.06,0.16,84.7,93.8,Very High
12057003200,Census Tract 32,37.24,2.43,4.69,0.22,74.2,81.4,Very High
12057003300,Census Tract 33,36.18,2.71,3.63,0.28,66.4,70.2,High
12057003400,Census Tract 34,35.63,2.59,3.08,0.32,61.3,63.9,High
12057003500,Census Tract 35,34.84,2.88,2.29,0.38,54.1,55.8,High
12057003600,Census Tract 36,33.71,2.54,1.16,0.47,43.2,40.7,Moderate
12057003700,Census Tract 37,32.94,2.31,0.39,0.55,34.6,29.8,Moderate
12057003800,Census Tract 38,32.24,2.67,-0.31,0.62,27.4,21.0,Low
12057003900,Census Tract 39,31.48,2.93,-1.07,0.69,20.1,13.2,Low
12057004000,Census Tract 40,30.22,3.36,-2.33,0.82,9.1,4.1,Low
12057004100,Census Tract 41,38.14,2.07,5.59,0.17,80.8,88.9,Very High
12057004200,Census Tract 42,36.72,2.64,4.17,0.25,70.1,76.7,Very High
12057004300,Census Tract 43,35.34,2.82,2.79,0.33,59.7,61.1,High
12057004400,Census Tract 44,33.48,2.46,0.93,0.49,40.6,37.8,Moderate
12057004500,Census Tract 45,31.74,3.08,-0.81,0.67,22.8,15.9,Low
12057004600,Census Tract 46,29.84,3.51,-2.71,0.84,7.2,2.7,Low
